bedrooms,bathrooms,stories,parking,width,length,quality,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price
4,2,2,2,53,120,2001,1,0,1,0,0,0,1,0,0,3570000
3,1,2,1,46,106,1640,0,0,0,0,0,0,0,0,1,2940000
3,1,1,2,61,140,2103,1,0,0,0,1,0,0,1,0,4900000
4,1,2,2,55,132,2877,1,0,1,0,0,0,0,1,0,9100000
2,1,2,0,41,104,2053,1,1,1,0,0,1,0,0,1,3990000
4,2,4,1,51,129,2592,1,0,0,0,1,0,0,1,0,7910000
3,2,2,1,54,132,2448,1,1,0,0,1,0,0,1,0,7350000
3,1,1,2,57,146,2680,1,0,0,0,0,0,0,1,0,5495000
3,2,4,1,53,130,2756,1,0,0,0,1,0,1,0,0,7525000
3,1,1,2,68,154,2318,1,1,1,0,1,1,0,0,1,6475000
3,1,1,0,47,125,2237,1,0,1,0,1,1,0,1,0,5110000
2,1,1,2,41,103,1706,1,0,1,0,1,0,1,0,0,3920000
3,1,2,1,60,140,2150,1,0,1,0,1,0,1,0,0,4760000
2,1,1,0,47,110,1467,1,0,0,0,0,0,0,0,1,2660000
3,1,2,2,48,122,2091,1,0,0,0,0,1,0,0,1,4550000
2,1,1,0,56,133,1662,1,0,0,0,0,0,0,0,1,3500000
2,1,1,1,38,96,1289,1,0,0,0,0,0,0,0,1,2100000
3,3,2,0,38,95,2331,1,0,1,0,0,0,0,1,0,5530000
3,2,2,0,46,107,2110,1,0,0,0,0,0,0,1,0,4095000
3,1,2,0,41,97,1351,1,0,1,0,0,0,0,0,1,2450000
4,1,1,0,40,104,1776,0,0,1,0,0,0,0,0,1,3990000
3,2,2,2,40,97,2573,1,0,0,0,0,0,0,1,0,5215000
3,1,1,0,43,102,2210,0,0,0,0,1,0,0,0,1,3500000
3,1,1,1,77,182,2345,1,0,1,0,1,1,1,0,0,7000000
3,1,1,0,49,118,2383,1,1,1,0,0,0,0,1,0,4900000
2,1,1,2,44,111,2353,1,0,0,0,1,0,1,0,0,4270000
3,1,3,1,36,82,2020,1,0,0,0,0,1,0,0,1,4200000
3,1,2,1,41,111,1808,1,0,0,0,0,0,0,1,0,4165000
3,1,1,2,65,149,2749,1,0,1,0,1,1,0,1,0,5950000
4,1,2,0,49,116,2092,1,0,0,0,0,0,0,1,0,3500000
2,1,2,0,53,122,1432,1,0,0,0,0,0,0,0,1,2450000
3,1,2,0,39,100,2161,1,0,1,0,0,0,1,0,0,4655000
3,1,2,2,58,149,2434,1,1,1,0,1,1,0,0,1,5250000
2,1,1,0,55,130,1743,0,0,0,0,0,0,0,1,0,3675000
2,2,1,2,34,90,2130,1,0,1,0,0,0,0,1,0,3850000
3,1,2,1,47,110,1899,1,0,0,0,0,0,0,0,1,2730000
3,1,1,2,39,98,1647,1,0,0,0,0,1,0,0,1,3633000
4,2,2,1,76,174,2158,1,1,1,0,0,0,0,1,0,4690000
3,1,2,0,32,82,1857,1,0,1,0,0,0,1,0,0,4550000
2,1,1,0,59,139,2259,1,0,0,0,0,0,1,0,0,4270000
4,1,4,2,55,145,2182,1,0,1,0,1,0,0,1,0,4795000
3,1,2,0,50,116,1888,1,0,0,0,0,0,0,0,1,3220000
3,2,2,1,61,141,3264,1,0,0,0,1,1,0,1,0,8855000
3,2,2,2,51,115,1992,1,0,0,0,0,0,0,1,0,3640000
4,2,2,1,62,143,3026,1,0,0,0,1,1,0,1,0,9310000
3,1,2,0,46,106,1885,1,0,1,0,0,0,0,1,0,3640000
2,1,1,0,39,99,1670,1,0,0,0,0,0,0,1,0,3780000
3,1,2,0,51,128,1807,1,1,1,0,0,0,0,0,1,3640000
2,1,2,1,40,107,1516,1,0,0,1,0,0,0,1,0,3080000
2,1,1,1,52,118,2268,0,0,0,0,0,0,0,0,1,4200000
2,1,1,0,35,90,1840,0,0,0,0,0,0,0,0,1,2870000
2,1,1,1,35,94,2052,1,0,0,0,0,0,0,1,0,2660000
4,2,2,2,49,130,3174,1,1,1,0,1,1,1,0,0,8540000
3,1,1,0,40,93,2172,1,0,1,0,0,1,1,0,0,4235000
3,2,4,2,56,137,3147,1,0,0,0,1,0,0,0,1,7700000
3,1,2,0,40,95,1759,0,0,0,0,0,0,0,1,0,3010000
3,1,2,1,43,99,2077,1,0,0,0,0,0,0,0,1,3500000
3,1,2,2,50,113,2056,1,0,0,0,0,0,1,0,0,4480000
4,1,2,0,51,124,2191,1,0,0,0,0,0,0,1,0,4900000
2,1,2,1,41,105,2009,1,0,0,0,0,0,0,1,0,4095000
4,2,1,0,63,144,2501,1,0,1,0,0,1,0,1,0,5600000
3,1,2,0,61,146,2596,1,1,1,0,1,1,0,1,0,5950000
2,1,1,1,43,106,2177,1,0,0,0,0,0,0,0,1,3325000
2,1,1,2,45,111,2032,1,0,0,0,1,0,0,1,0,3640000
4,2,2,0,49,130,2383,0,0,0,0,1,0,0,1,0,5250000
3,1,4,2,52,135,2599,1,0,0,0,1,0,0,1,0,8400000
4,1,3,1,43,100,2767,1,0,0,0,0,0,0,1,0,6107500
3,2,1,0,59,150,1931,1,1,1,0,0,0,0,1,0,5005000
4,1,2,0,40,105,2487,1,0,1,0,1,0,1,0,0,5250000
3,1,2,1,48,114,1372,0,0,0,1,0,0,0,0,1,2835000
3,1,2,1,56,133,1641,1,0,1,0,0,0,0,0,1,2940000
4,2,4,2,60,138,2679,1,0,0,0,0,0,0,1,0,7700000
3,1,2,2,42,99,1388,1,0,0,0,0,0,0,1,0,3010000
3,2,2,2,70,164,3027,1,0,0,0,1,0,1,0,0,8575000
3,2,4,2,60,152,3290,1,0,0,0,1,0,1,0,0,8960000
3,1,1,3,66,150,2177,1,0,0,0,0,0,1,0,0,4200000
2,1,1,1,64,158,2493,1,0,0,0,1,0,0,1,0,7070000
2,1,1,0,46,105,2079,1,0,0,0,0,1,0,1,0,3745000
3,1,1,2,49,113,2119,1,1,1,0,0,0,0,1,0,4340000
4,1,2,1,44,110,1556,0,0,0,0,0,0,0,0,1,2975000
2,1,1,1,56,144,2239,1,0,0,0,0,0,1,0,0,4270000
2,1,1,0,41,100,1656,0,0,1,0,0,0,0,1,0,3150000
3,1,2,2,49,113,2094,1,0,0,0,0,0,0,1,0,4165000
5,3,2,2,70,163,2502,1,0,0,0,0,0,1,0,0,6440000
4,2,2,2,74,173,2014,1,1,0,0,0,0,0,1,0,5250000
4,1,2,0,46,119,1422,1,0,0,0,0,0,0,0,1,2870000
3,1,1,2,41,104,2658,1,0,1,0,0,0,0,1,0,6475000
3,2,2,1,50,118,3183,1,1,1,0,1,0,1,0,0,8645000
4,1,2,2,46,105,2539,1,0,0,0,0,0,1,0,0,4340000
2,1,1,1,35,87,1826,1,0,0,0,1,0,0,0,1,3220000
2,1,1,0,46,117,1299,1,0,0,0,0,0,0,0,1,2940000
3,3,1,2,68,155,3146,1,0,1,0,1,1,0,1,0,10850000
3,1,3,2,70,162,2807,1,0,0,0,1,0,0,0,1,6090000
3,2,3,0,60,137,3232,1,0,0,0,1,0,0,1,0,7560000
2,1,1,2,41,98,1544,1,0,0,0,0,0,0,0,1,3430000
3,2,1,3,55,140,2291,1,1,1,0,0,0,1,0,0,3920000
4,2,2,1,62,143,2888,1,1,1,0,1,1,0,0,1,9100000
3,2,2,1,51,117,2882,1,0,1,0,0,0,0,0,1,7455000
2,1,1,1,55,133,1970,1,0,1,0,0,0,0,1,0,4123000
3,1,3,0,35,81,2006,1,0,0,0,0,1,1,0,0,3465000
4,2,2,3,56,143,3411,1,0,1,0,1,1,1,0,0,12215000
2,1,1,0,40,100,1511,1,0,0,0,0,0,0,0,1,2590000
2,1,1,0,40,100,1526,0,0,0,0,0,0,0,0,1,2408000
3,1,2,1,56,133,2882,1,0,0,0,1,0,0,0,1,7350000
3,1,2,0,70,173,2061,1,1,1,0,0,0,0,1,0,5040000
2,1,1,0,42,102,1334,1,0,0,0,0,0,0,0,1,2345000
3,1,4,0,43,110,2275,1,0,0,0,1,0,0,0,1,6160000
2,1,1,0,47,111,1931,1,0,0,0,0,0,1,0,0,3710000
3,2,2,0,43,103,2000,1,0,1,0,0,0,0,0,1,4200000
4,2,2,1,46,120,2880,1,0,1,0,1,1,0,1,0,8400000
3,1,2,0,41,101,2234,1,0,0,0,1,0,1,0,0,4550000
4,2,2,1,49,126,2160,0,0,1,0,0,0,0,0,1,4060000
3,2,4,0,60,137,2975,1,1,1,0,1,1,0,1,0,8463000
5,3,2,0,183,310,3290,1,0,0,0,0,0,0,0,1,10150000
3,1,1,2,62,154,2536,1,0,0,0,1,0,1,0,0,5250000
3,2,4,1,54,140,2958,1,0,0,0,0,1,0,0,1,7420000
3,2,3,0,63,142,2768,1,1,0,0,1,0,1,0,0,6195000
4,2,4,2,67,162,2898,1,0,0,0,1,0,1,0,0,7980000
5,1,2,0,46,120,1804,1,1,1,0,1,1,1,0,0,5565000
2,1,1,0,62,150,1537,1,0,0,0,0,0,0,0,1,2450000
3,1,1,2,65,163,2501,1,0,1,0,0,1,1,0,0,6083000
2,1,1,0,29,72,1718,0,0,1,0,0,0,0,1,0,2275000
4,2,2,1,57,138,2552,1,1,0,1,0,0,0,1,0,6090000
4,2,2,0,39,102,2014,0,0,0,0,0,0,0,1,0,4200000
3,1,2,0,57,134,2481,1,0,0,0,1,0,0,1,0,4935000
3,2,1,0,49,124,2518,1,0,1,0,0,0,0,1,0,5250000
3,1,2,0,52,125,2250,1,1,1,0,0,1,0,1,0,4550000
3,1,2,1,46,109,1822,1,0,0,0,0,0,1,0,0,4585000
3,1,1,2,49,128,2522,1,1,1,0,1,1,1,0,0,5740000
2,1,1,0,47,106,2126,0,1,1,0,0,0,0,1,0,5040000
2,1,1,1,38,89,1641,0,0,0,0,0,0,1,0,0,2835000
2,1,1,0,48,111,2092,1,0,0,0,0,0,0,0,1,3290000
4,1,2,2,44,103,1585,1,0,0,0,1,0,0,0,1,3360000
3,2,2,0,46,113,2303,0,0,1,0,1,0,0,1,0,3990000
3,1,1,2,44,103,2059,1,0,1,0,0,0,0,0,1,3395000
2,2,2,1,43,103,1270,1,0,1,0,0,0,1,0,0,2590000
4,2,2,2,47,120,2567,1,0,0,0,1,0,0,0,1,5740000
2,1,1,0,36,97,1986,1,0,0,0,0,0,1,0,0,3395000
4,2,2,1,48,127,2900,1,0,0,0,1,0,1,0,0,7070000
3,1,2,0,38,101,1731,1,0,0,0,0,0,1,0,0,3990000
2,1,1,2,62,158,2365,1,0,1,0,1,0,0,1,0,4760000
3,1,1,0,52,135,2773,1,1,1,0,1,1,0,1,0,5425000
3,1,1,1,59,148,2172,1,0,0,0,0,1,0,1,0,5145000
3,1,2,1,45,115,2080,1,0,0,0,0,0,0,1,0,4403000
3,1,2,0,45,107,1235,1,0,0,0,0,0,0,0,1,1750000
2,1,2,0,52,127,2346,1,0,0,0,1,1,0,0,1,5075000
3,2,2,1,52,126,2226,1,0,0,0,0,0,0,1,0,5600000
3,1,2,0,43,105,2513,1,0,0,0,0,0,0,0,1,4375000
2,1,1,0,40,100,1994,1,0,0,1,0,0,0,1,0,3710000
2,1,1,1,44,117,1548,1,0,0,0,0,1,0,0,1,3465000
2,1,1,0,43,107,2303,1,0,1,0,0,0,1,0,0,4319000
3,2,3,0,57,138,2574,1,0,0,0,1,1,0,0,1,6293000
2,1,2,0,44,109,1814,1,0,0,0,0,0,0,0,1,3360000
4,2,2,2,67,177,2583,1,0,0,0,0,1,1,0,0,6790000
3,1,2,0,54,123,1638,1,0,0,0,0,0,0,1,0,3780000
4,2,2,0,33,86,1682,1,0,0,0,0,0,1,0,0,2380000
2,1,1,2,63,146,2372,1,1,1,0,0,0,1,0,0,6020000
3,1,1,0,50,116,1722,1,0,0,0,0,0,0,1,0,4060000
3,1,1,1,52,128,1481,1,0,0,0,0,0,0,0,1,3290000
2,1,1,0,44,99,1870,1,1,1,0,0,0,0,0,1,3080000
3,1,2,0,35,82,2047,0,0,1,0,0,0,0,1,0,3080000
3,1,2,0,42,104,2022,1,0,0,0,0,0,0,0,1,3115000
3,1,2,0,33,79,2027,0,1,1,0,1,0,0,0,1,4270000
3,1,1,1,46,106,2035,1,0,0,0,0,0,0,0,1,3710000
3,1,1,0,46,109,1866,1,0,0,0,0,0,1,0,0,2800000
2,1,1,0,43,100,1311,1,0,0,0,1,0,0,0,1,2653000
3,2,3,1,67,153,2939,1,0,0,1,0,1,1,0,0,8043000
3,1,1,2,54,137,2186,1,0,1,0,0,1,0,1,0,5803000
2,2,1,0,46,110,2358,1,1,1,0,0,0,0,1,0,4543000
3,1,2,0,31,78,2012,1,0,1,0,0,1,1,0,0,3332000
4,2,1,0,55,128,2458,1,0,1,0,1,1,0,1,0,6160000
2,1,1,0,44,106,1946,1,0,0,0,0,0,0,0,1,3045000
3,1,2,0,34,88,1621,1,0,1,0,1,0,0,0,1,4200000
3,1,1,0,63,154,2097,1,0,0,0,0,0,1,0,0,4480000
3,1,3,0,28,74,1758,1,0,0,0,0,1,1,0,0,3430000
3,1,4,0,53,124,2459,1,0,0,0,0,0,1,0,0,5600000
3,1,2,0,44,103,2372,1,0,0,0,0,0,0,1,0,4473000
3,1,2,0,30,77,2223,1,0,1,0,0,1,1,0,0,3290000
3,1,4,2,52,129,2587,1,1,0,0,1,0,0,0,1,7962500
5,2,1,1,37,87,1484,0,0,1,0,1,0,1,0,0,3773000
2,1,1,0,52,121,2177,1,1,1,0,0,0,0,1,0,5033000
4,2,2,0,38,91,2044,0,0,0,0,0,0,0,1,0,4200000
4,2,2,1,50,132,2520,1,1,1,0,0,1,0,1,0,5652500
2,1,1,2,47,111,2025,1,0,0,0,0,0,0,1,0,3150000
4,2,2,1,70,173,2086,1,0,0,0,0,0,0,1,0,5600000
3,1,2,0,45,103,1871,1,0,0,0,0,0,0,0,1,3836000
3,1,1,3,50,123,1531,1,0,0,0,0,0,0,1,0,4025000
3,1,1,0,52,132,2656,1,0,1,0,1,1,1,0,0,5950000
2,1,1,0,48,117,1760,1,0,0,0,0,0,0,0,1,3360000
2,1,1,2,59,141,2591,1,1,1,0,0,1,1,0,0,6419000
3,1,3,0,49,120,2495,1,0,0,0,1,0,0,1,0,5740000
3,2,2,2,44,107,1909,1,0,1,0,0,0,0,1,0,4620000
4,2,1,0,33,80,1876,1,0,1,0,0,1,0,0,1,3920000
3,2,4,0,43,112,2741,1,1,0,0,1,0,1,0,0,6405000
2,1,1,0,60,142,1939,1,0,0,0,0,0,0,1,0,3150000
3,1,2,0,50,121,2417,1,0,1,0,1,0,0,0,1,4200000
2,1,1,1,46,106,2122,1,0,0,0,0,1,0,0,1,3500000
4,1,2,0,37,98,2360,1,1,0,0,1,0,1,0,0,5950000
3,1,1,2,65,149,2493,1,1,1,0,0,1,0,1,0,5229000
3,2,2,1,37,90,2392,0,0,1,0,1,0,0,1,0,4956000
3,1,1,2,40,101,2171,1,0,0,0,0,0,0,1,0,4550000
3,1,2,0,43,104,2173,1,0,0,0,0,0,0,0,1,3500000
3,1,1,2,68,158,2296,1,0,0,0,1,0,0,1,0,3920000
3,1,2,1,48,117,1845,1,1,1,0,1,0,1,0,0,3395000
2,1,1,0,34,87,1789,1,0,0,0,0,0,0,1,0,3010000
3,1,2,2,68,163,1767,1,0,0,0,0,0,0,1,0,3150000
3,1,2,2,39,105,1612,1,0,0,0,0,1,1,0,0,4060000
3,1,1,2,55,136,2732,1,1,1,0,0,1,1,0,0,5950000
3,1,1,2,56,147,1781,1,0,0,0,0,0,1,0,0,3773000
2,1,1,0,54,123,2526,1,0,0,0,1,1,0,1,0,4830000
3,1,1,0,37,91,1530,0,0,0,0,0,0,0,0,1,2520000
2,1,1,0,50,116,2412,1,0,1,0,0,0,0,0,1,4865000
3,2,4,1,58,138,2410,1,0,0,0,0,0,1,0,0,5950000
2,1,1,0,37,89,1436,0,0,0,0,0,0,1,0,0,2940000
4,1,2,1,50,133,2225,0,0,0,0,0,0,1,0,0,3773000
3,1,2,0,34,90,2271,0,0,1,0,0,0,0,1,0,3640000
3,1,1,0,61,139,1815,1,1,1,0,0,0,1,0,0,3290000
3,1,2,1,63,144,1726,0,0,0,0,1,0,0,1,0,3990000
3,1,1,0,40,95,1869,1,0,0,0,0,0,0,0,1,3465000
3,1,2,0,35,85,1608,1,0,0,0,0,0,1,0,0,2380000
2,1,1,2,57,133,2345,1,1,1,0,0,0,0,1,0,4200000
4,1,3,0,51,121,2154,0,0,0,0,0,0,0,1,0,3360000
2,1,1,0,41,102,2099,1,0,0,0,0,0,0,0,1,3570000
2,1,1,0,42,104,2096,1,0,0,0,0,0,0,1,0,3850000
3,1,3,0,61,141,2522,1,0,1,0,0,1,0,0,1,6125000
3,1,2,1,43,104,2214,1,1,1,0,0,1,0,0,1,5250000
2,2,1,0,34,90,1986,0,0,1,0,0,0,0,1,0,3815000
3,1,2,1,39,98,1806,0,0,0,0,0,0,0,1,0,2940000
3,1,2,0,34,89,2282,1,0,1,0,0,0,0,1,0,3500000
4,1,2,0,41,109,2421,1,0,0,0,1,0,0,1,0,4130000
2,1,1,1,63,166,2086,1,0,0,0,0,0,0,1,0,5600000
3,1,1,0,42,104,1733,1,0,0,0,0,0,0,0,1,3430000
3,1,2,2,43,103,2131,1,0,0,0,0,0,0,1,0,4690000
3,1,2,0,47,106,2283,1,0,0,0,0,1,0,1,0,4200000
2,1,1,2,48,124,2053,1,0,0,0,0,0,0,0,1,3780000
3,2,1,0,39,95,2244,1,1,1,0,1,0,1,0,0,5460000
3,1,1,0,47,107,1976,1,0,1,0,1,1,1,0,0,4098500
4,1,4,0,57,133,2228,1,1,0,0,0,0,0,1,0,5810000
3,1,1,0,58,139,1905,1,1,1,0,0,1,1,0,0,5040000
2,1,2,0,40,99,2091,1,0,0,0,0,1,1,0,0,4515000
2,1,1,1,46,123,2478,1,0,1,0,1,0,1,0,0,4690000
3,1,1,2,54,135,2472,1,1,1,0,0,1,0,1,0,6090000
3,1,1,2,71,160,2661,1,1,1,0,1,1,0,1,0,6020000
2,1,1,1,53,129,2252,1,0,0,0,0,0,1,0,0,3500000
3,1,2,0,56,139,1982,1,0,1,0,0,0,0,0,1,4795000
2,1,1,0,46,106,1908,1,0,0,0,0,0,0,0,1,3115000
2,1,1,0,39,103,1860,1,0,0,0,0,1,0,1,0,3605000
3,1,2,0,61,145,2361,1,0,0,0,1,0,1,0,0,3850000
4,2,1,1,60,139,2461,1,0,1,0,0,1,0,1,0,5950000
5,1,2,0,37,96,1489,0,0,0,0,0,0,0,0,1,1960000
2,1,2,0,59,138,1833,1,0,0,0,0,0,0,0,1,4270000
2,1,1,0,45,108,1663,1,0,0,0,0,0,0,0,1,2695000
2,1,2,0,37,91,1675,1,0,0,0,0,0,0,1,0,2961000
3,2,4,1,57,131,2760,1,1,0,0,1,0,0,1,0,6195000
3,1,1,0,43,104,1765,1,0,0,0,0,0,0,0,1,3360000
2,1,1,0,40,100,1950,1,0,0,0,0,0,1,0,0,3675000
3,1,3,1,53,128,2540,1,1,0,0,1,0,1,0,0,5873000
2,1,1,0,39,100,1272,1,0,0,0,0,0,0,0,1,2870000
4,2,4,1,53,130,2635,1,0,0,0,1,0,1,0,0,7560000
3,2,2,1,54,136,2494,1,1,1,0,0,1,1,0,0,5390000
3,2,2,1,59,136,2582,1,1,0,0,0,0,0,1,0,7140000
3,1,2,2,39,98,2202,1,0,1,0,0,1,0,1,0,4277000
3,1,2,1,51,128,2611,1,0,0,1,0,1,0,1,0,6629000
3,1,2,0,48,119,2385,1,0,1,0,0,0,0,1,0,4620000
3,1,2,1,63,148,2555,1,1,1,0,0,1,1,0,0,5215000
2,1,1,0,47,110,1956,0,0,0,0,0,0,0,0,1,3255000
3,2,2,2,42,102,2199,1,0,0,0,0,0,0,1,0,5530000
4,2,2,1,62,143,2826,1,0,0,0,1,1,0,1,0,9310000
3,2,4,2,54,138,2895,1,0,0,0,1,0,1,0,0,8080940
5,2,2,2,58,148,2601,1,0,1,1,0,0,0,0,1,8400000
3,2,1,0,53,133,2255,1,1,1,1,0,0,0,0,1,5383000
